position_long,name,team,count_played,minutes_played,points_sumplayer,points_avgplayer,value_avg,ict_avg
01gk,Jordan Pickford,Everton,38,3420,153,4.026315789473684,4.518421052631579,2.6657894736842107
01gk,David Raya Martin,Arsenal,32,2880,135,4.21875,4.965625,1.284375
02def,Benjamin White,Arsenal,37,2987,182,4.918918918918919,5.686486486486486,4.297297297297297
02def,William Saliba,Arsenal,38,3420,164,4.315789473684211,5.528947368421052,2.607894736842105
02def,Pedro Porro,Spurs,35,3090,136,3.8857142857142857,5.502857142857143,5.957142857142857
02def,Jarrad Branthwaite,Everton,35,3116,124,3.5428571428571427,4.145714285714286,2.98
02def,Fabian Schär,Newcastle,36,3055,123,3.416666666666667,5.283333333333333,3.5388888888888888
03mid,Cole Palmer,Man City,34,2617,244,7.176470588235294,5.561764705882353,9.641176470588235
03mid,Phil Foden,Man City,35,2860,230,6.571428571428572,7.837142857142857,9.965714285714286
03mid,Son Heung-min,Spurs,35,2934,213,6.085714285714285,9.64,8.705714285714286
03mid,Mohamed Salah,Liverpool,32,2531,211,6.59375,13.03125,10.8125
03mid,Anthony Gordon,Newcastle,35,2896,183,5.228571428571429,5.948571428571428,7.334285714285714
04fwd,Ollie Watkins,Aston Villa,37,3222,228,6.162162162162162,8.564864864864864,8.183783783783785
04fwd,Dominic Solanke,Bournemouth,38,3325,175,4.605263157894737,6.831578947368421,7.176315789473684
04fwd,Jean-Philippe Mateta,Crystal Palace,35,2274,165,4.7142857142857135,4.9314285714285715,5.482857142857143
